Name,PID,Smiles,Details,Condition,Reference,Year,He,H2,O2,N2,CO2,CH4,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-HPB aged 145 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC(=C(C=C7)O*)O*)C8=CC=CC=C8)C9=CC=CC=C9,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,437,1000,340,107,2390,192,2.640481437,3,2.531478917,2.029383778,3.378397901,2.283301229
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,249,501,154,46,990,82,2.396199347,2.699837726,2.187520721,1.662757832,2.995635195,1.913813852
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,578,1220,408,122,2620,230,2.761927838,3.086359831,2.610660163,2.086359831,3.418301291,2.361727836
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CH3-HPB aged 147 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,413,856,256,60,1630,132,2.615950052,2.932473765,2.408239965,1.77815125,3.212187604,2.120573931
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,91.4,154,30.4,6.3,189,10.1,1.960946196,2.187520721,1.482873584,0.799340549,2.276461804,1.004321374
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,392,930,301,92,2130,177,2.593286067,2.968482949,2.478566496,1.963787827,3.328379603,2.247973266
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-Br-HPB aged 146 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)Br)C9=CC=C(C=C9)Br,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,312,694,203,54,1430,102,2.494154594,2.84135947,2.307496038,1.73239376,3.155336037,2.008600172
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB as cast,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,113,181,37.3,7.8,228,12.8,2.053078443,2.257678575,1.571708832,0.892094603,2.357934847,1.10720997
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB after MeOH,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,541,1200,386,123,2390,212,2.733197265,3.079181246,2.586587305,2.089905111,3.378397901,2.326335861
Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,PIM-CN-HPB aged 147 days,C1(=C(C(=C(C(=C1C2=CC4=C(C=C2)OC3=C(C(=C(C(=C3O4)C#N)*)*)C#N)C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C7=CC(=C(C=C7)O*)O*)C8=CC=C(C=C8)C#N)C9=CC=C(C=C9)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma501925j,2014,361,734,205,52,1300,93,2.557507202,2.86569606,2.311753861,1.716003344,3.113943352,1.968482949
Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,TB-Ad-Me as cast,C1=C(C(=C(C=C1C4(C2=CC(=C3C(=C2)CN(CN3C*)*)C)C5CC6CC4CC(C5)C6)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c4py00607k,2014,,161.4,40.2,11.24,200.5,18.7,,2.20790353,1.604226053,1.050766311,2.302114377,1.271841607
Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,TB-Ad-Me after MeOH,C1=C(C(=C(C=C1C4(C2=CC(=C3C(=C2)CN(CN3C*)*)C)C5CC6CC4CC(C5)C6)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c4py00607k,2014,,1800,437,121,1820,162,,3.255272505,2.640481437,2.08278537,3.260071388,2.209515015
Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,TB-Ad-Me after ageing (6 months),C1=C(C(=C(C=C1C4(C2=CC(=C3C(=C2)CN(CN3C*)*)C)C5CC6CC4CC(C5)C6)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c4py00607k,2014,,745,145,33,635,41,,2.872156273,2.161368002,1.51851394,2.802773725,1.612783857
Polymer with Intrinsic Microporosity (bis(phenazyl) spirobisindane-based ladder polymer) at 200-300 mbar,PIM-7,C1=C(C(=CC2=C1N=C3C(=N2)C=C4C(=C3)C(CC45CC(C6=C5C=C7C(=C6)N=C8C(=N7)C=C%13C(=C8)OC9=C(C=C%10C(=C9)C(CC%10%12C%11=C(C=C(C(=C%11)O*)O*)C(C%12)(C)C)(C)C)O%13)(C)C)(C)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma071846r,2008,440,860,190,42,1100,62,2.643452676,2.934498451,2.278753601,1.62324929,3.041392685,1.792391689
Polymer with Intrinsic Microporosity (cardo-ethanoanthracen-based ladder polymer) at at 200-300 mbar,Cardo-PIM-1,C1=C(C(=CC2=C1N=C3C(=N2)C=C4C(=C3)C(CC45CC(C6=C5C=C7C(=C6)N=C8C(=N7)C=C%14C(=C8)OC9=C(C=C(C=C9)C%12(C%10=CC=C(C(=C%10)O*)O*)C%11=C(C=CC=C%11)C%13=CC=CC=C%12%13)O%14)(C)C)(C)C)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma071846r,2008,170,320,59,13,430,22,2.230448921,2.505149978,1.770852012,1.113943352,2.633468456,1.342422681
Polymer with Intrinsic Microporosity (triptycene TB) at 1 bar,PIM-Trip-TB methanol treated,C1=C(C(=CC3=C1C4C2=CC6=C(C=C2C3C5=C4C=CC=C5)CN(*)CN6C*)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.201305783,2014,2500,8039,2718,629,9709,905,3.397940009,3.905202029,3.434249452,2.798650645,3.987174501,2.956648579
Polymer with Intrinsic Microporosity (triptycene TB) at 1 bar,PIM-Trip-TB aged 100 days,C1=C(C(=CC3=C1C4C2=CC6=C(C=C2C3C5=C4C=CC=C5)CN(*)CN6C*)*)*,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.201305784,2014,1585,4740,1073,189,3951,218,3.200029267,3.675778342,3.030599722,2.276461804,3.59670703,2.338456494
Polymer with Intrinsic Microporosity (spirochromane-based ladder polymer),PIM-CO15(quinoline),C1(=C(C(=C(C6=C1OC2=C(C=C5C(=C2)C(CC4(CC(C3=C(C=C(C(=C3)O*)O*)O4)(C)C)O5)(C)C)O6)C#N)*)*)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1002/macp.201100089,2011,330,600,150,40,1070,56,2.51851394,2.77815125,2.176091259,1.602059991,3.029383778,1.748188027
Polymer with Intrinsic Microporosity (spirochromane-based ladder polymer),PIM-CO15(dichlorobenzene),C1(=C(C(=C(C6=C1OC2=C(C=C5C(=C2)C(CC4(CC(C3=C(C=C(C(=C3)O*)O*)O4)(C)C)O5)(C)C)O6)C#N)*)*)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1002/macp.201100090,2011,450,900,275,83,2000,130,2.653212514,2.954242509,2.439332694,1.919078092,3.301029996,2.113943352
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),PIM-CO19 (CHCl3),C1(=C(C(=C(C6=C1OC2=C(C=C3C(=C2)C(C(C34CC(C5=C4C=C(C(=C5)O*)O*)(C)CC)C)(C)CC)O6)C#N)*)*)C#N,Polymers with High Free Volume,,http://dx.doi.org/10.1002/macp.201100097,2011,880,2100,820,320,6100,580,2.944482672,3.322219295,2.913813852,2.505149978,3.785329835,2.763427994
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylene) at 200?????500 mbar,PIM-PI-1,C1=C7C(=CC6=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=C4C=C(C(=C5)O*)O*)(C)C)(C)C)O6)C(=O)N(C7=O)C8=C(C(=C(C(=C8C)C)N9C(C%10=C(C9=O)C=C(C(=C%10)*)*)=O)C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.200702400,2008,260,530,150,47,1100,77,2.414973348,2.72427587,2.176091259,1.672097858,3.041392685,1.886490725
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/hexafluoroisopropylidene) at 200?????500 mbar,PIM-PI-3,C1=C7C(=CC6=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=C4C=C(C(=C5)O*)O*)(C)C)(C)C)O6)C(=O)N(C7=O)C8=CC=C(C=C8)C(C9=CC=C(C=C9)N%10C(C%11=C(C%10=O)C=C(C(=C%11)*)*)=O)(C(F)(F)F)C(F)(F)F,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.200702400,2008,190,360,85,23,520,27,2.278753601,2.556302501,1.929418926,1.361727836,2.716003344,1.431363764
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 200?????500 mbar,PIM-PI-8,C1=C7C(=CC6=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=C4C=C(C(=C5)O*)O*)(C)C)(C)C)O6)C(=O)N(C7=O)C8=C%13C(=C(C=C8C)C9=CC(=C(C%10=C9C=CC=C%10)N%11C(C%12=C(C%11=O)C=C(C(=C%12)*)*)=O)C)C=CC=C%13,Polymers with High Free Volume,,http://dx.doi.org/10.1002/adma.200702400,2008,660,1600,545,160,3700,260,2.819543936,3.204119983,2.736396502,2.204119983,3.568201724,2.414973348
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/hexafluoroisopropylidene) at 200?????300 mbar,PIM-PI-2,C1=C%12C(=CC%11=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=CC%10=C(C=C45)OC6=C(C=C7C(=C6)C(N(C7=O)C8=C(C=CC(=C8)C(C9=CC(=C(C=C9)C)*)(C(F)(F)F)C(F)(F)F)C)=O)O%10)(C)C)(C)C)O%11)C(N(C%12=O)*)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma901430q,2009,160,220,39,9,210,9,2.204119983,2.342422681,1.591064607,0.954242509,2.322219295,0.954242509
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/bis-trifluoromethyl-biphenyl) at 200?????300 mbar,PIM-PI-4,C1=C%12C(=CC%11=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=CC%10=C(C=C45)OC6=C(C=C7C(=C6)C(N(C7=O)C8=CC(=C(C=C8)C9=CC=C(C=C9C(F)(F)F)*)C(F)(F)F)=O)O%10)(C)C)(C)C)O%11)C(N(C%12=O)*)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma901430q,2009,205,300,64,16,420,20,2.311753861,2.477121255,1.806179974,1.204119983,2.62324929,1.301029996
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/naphthalene) at 200?????300 mbar,PIM-PI-7,C1=C%12C(=CC%11=C1OC2=C(C=C3C(=C2)C(CC34CC(C5=CC%10=C(C=C45)OC6=C(C=C7C(=C6)C(N(C7=O)C8=CC=CC9=C8C=CC=C9*)=O)O%10)(C)C)(C)C)O%11)C(N(C%12=O)*)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1021/ma901430q,2009,190,350,77,19,510,27,2.278753601,2.544068044,1.886490725,1.278753601,2.707570176,1.431363764
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylenediamine) at 1 bar,PIM-PI-9 as cast,C12=C(C(N(C1=O)*)=O)C=C3C(=C2)C(CC36CC(C7=CC4=C(C(N(C4=O)C5=C(C(=C(C(=C5C)C)*)C)C)=O)C=C67)(C)C)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c3py00451a,2013,400,840,295,94,2180,170,2.602059991,2.924279286,2.469822016,1.973127854,3.338456494,2.230448921
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylenediamine) at 1 bar,PIM-PI-9 MeOH,C12=C(C(N(C1=O)*)=O)C=C3C(=C2)C(CC36CC(C7=CC4=C(C(N(C4=O)C5=C(C(=C(C(=C5C)C)*)C)C)=O)C=C67)(C)C)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c3py00451a,2013,1160,2990,1150,420,5700,610,3.064457989,3.475671188,3.06069784,2.62324929,3.755874856,2.785329835
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 1 bar,PIM-PI-10 as cast,C12=C(C(N(C1=O)*)=O)C=C3C(=C2)C(CC39CC(C%10=CC4=C(C(N(C4=O)C5=C8C(=C(C=C5C)C6=CC(=C(C7=C6C=CC=C7)*)C)C=CC=C8)=O)C=C9%10)(C)C)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c3py00451a,2013,300,670,270,84,2154,168,2.477121255,2.826074803,2.431363764,1.924279286,3.333245699,2.225309282
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 1 bar,PIM-PI-10 MeOH,C12=C(C(N(C1=O)*)=O)C=C3C(=C2)C(CC39CC(C%10=CC4=C(C(N(C4=O)C5=C8C(=C(C=C5C)C6=CC(=C(C7=C6C=CC=C7)*)C)C=CC=C8)=O)C=C9%10)(C)C)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c3py00451a,2013,950,2560,1010,340,5910,550,2.977723605,3.408239965,3.004321374,2.531478917,3.771587481,2.740362689
Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/Spirobisindan) at 1 bar,PIM-PI-11 as cast,C12=C(C(N(C1=O)*)=O)C=C3C(=C2)C(CC39CC(C%10=CC4=C(C(N(C4=O)C5=CC6=C(C=C5)C(CC67CC(C8=CC=C(C=C78)*)(C)C)(C)C)=O)C=C9%10)(C)C)(C)C,Polymers with High Free Volume,,http://dx.doi.org/10.1039/c3py00451a,2013,332,624,208,65,1523,129,2.521138084,2.79518459,2.318063335,1.812913357,3.182699903,2.11058971
Triptycene-based Polymer with Intrinsic Microporosity,TPIM-1,C1=C(C(=CC3=C1C4(C2=CC8=C(C=C2C3(C5=C4C=CC=C5)C(C)C)OC6=C(C=C7C(=C6)N=C(C(=N7)[*])[*])O8)C(C)C)[*])[*],Polymers with High Free Volume,,http://pubs.acs.org/doi/abs/10.1021/acsmacrolett.5b00512,2015,,1105,61,7.09,,7.27,,3.043362278,1.785329835,0.850646235,,0.861534411
KAUST Polymer with Intrinsic Microporosity,KAUST-PI-1,C1=C(C(=CC3=C1C4(C2=CC%11=C(C=C2C3(C5=C4C=CC=C5)C(C)C)OC6=C(C=C7C(=C6)C(=O)N(C7=O)C8=C(C(=C(C(=C8C)C)N9C(C%10=C(C9=O)C=C(C(=C%10)O*)O*)=O)C)C)O%11)C(C)C)*)*,Polymers with High Free Volume,,http://pubs.acs.org/doi/abs/10.1021/acsmacrolett.5b00512,2015,,3431,542,87.42,,83.68,,3.535420718,2.733999287,1.941610802,,1.922621672
Triptycene and Troger's base - Polymer with Intrinsic Microporosity,PIM-TRIP-TB,C1=C(C(=CC3=C1C4C2=CC6=C(C=C2C3C5=C4C=CC=C5)CN(*)CN6C*)*)*,Polymers with High Free Volume,,http://pubs.acs.org/doi/abs/10.1021/acsmacrolett.5b00512,2015,,4740,1073,188.25,,215.45,,3.675778342,3.030599722,2.274734985,,2.333346498
Ethanoanthracene and Troger's base - Polymer with Intrinsic Microporosity,PIM-EA-TB,C1=C(C(=CC3=C1C4(C2=CC5=C(C=C2C3(CC4)C)CN(*)CN5C*)C)*)*,Polymers with High Free Volume,,http://pubs.acs.org/doi/abs/10.1021/acsmacrolett.5b00512,2015,,4442,933,186.6,,222.1,,3.647578554,2.969881644,2.270911639,,2.346548559
"TDA1-APAFa, fresh. Triptycene dimethyl-bridgehead dianhydride-based intrinsically microporous hydroxyl-functionalized polyimide",TDA1-APAFa,C1(C2=C(C(=O)N1*)C=C3C(=C2)C4(C6=C(C3(C)C5=CC=CC=C45)C=C7C(=C6)C(=O)N(C7=O)C8=C(C=CC(=C8)C(C9=CC=C(C(=C9)*)O)(C(F)(F)F)C(F)(F)F)O)C)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.memsci.2016.07.058,2016,92,94,8.5,1.5,40,0.73,1.963787827,1.973127854,0.929418926,0.176091259,1.602059991,-0.13667714
"TDA1-APAFb, aged after 250 days. Triptycene dimethyl-bridgehead dianhydride-based intrinsically microporous hydroxyl-functionalized polyimide",TDA1-APAFb,C1(C2=C(C(=O)N1*)C=C3C(=C2)C4(C6=C(C3(C)C5=CC=CC=C45)C=C7C(=C6)C(=O)N(C7=O)C8=C(C=CC(=C8)C(C9=CC=C(C(=C9)*)O)(C(F)(F)F)C(F)(F)F)O)C)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.memsci.2016.07.058,2016,70,73,6.4,0.9,30,0.4,1.84509804,1.86332286,0.806179974,-0.045757491,1.477121255,-0.397940009
"TDA1-DMN, fresh",TDA1-DMN,C1(C2=C(C(=O)N1*)C=C3C(=C2)C4(C6=C(C3(C)C5=CC=CC=C45)C=C7C(=C6)C(=O)N(C7=O)C8=C%11C(=C(C=C8C)C9=C%10C(=C(C(=C9)C)*)C=CC=C%10)C=CC=C%11)C)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.polymer.2016.08.075,2016,1182,3050,783,182,3700,216,3.072617477,3.484299839,2.893761762,2.260071388,3.568201724,2.334453751
"TDA1-DMN, aged 250 days",TDA1-DMN,C1(C2=C(C(=O)N1*)C=C3C(=C2)C4(C6=C(C3(C)C5=CC=CC=C45)C=C7C(=C6)C(=O)N(C7=O)C8=C%11C(=C(C=C8C)C9=C%10C(=C(C(=C9)C)*)C=CC=C%10)C=CC=C%11)C)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.polymer.2016.08.075,2016,903,2430,609,134,3000,158,2.95568775,3.385606274,2.784617293,2.127104798,3.477121255,2.198657087
"TDAi3-DMN, fresh",TDAi3-DMN,C1(C2=C(C(=O)N1*)C=C3C(=C2)C4(C6=C(C3(C(C)C)C5=CC=CC=C45)C=C7C(=C6)C(=O)N(C7=O)C8=C%11C(=C(C=C8C)C9=C%10C(=C(C(=C9)C)*)C=CC=C%10)C=CC=C%11)C(C)C)=O,Polymers with High Free Volume,,http://dx.doi.org/10.1016/j.polymer.2016.08.075,2016,913,2233,594,160,3154,211,2.960470778,3.348888723,2.773786445,2.204119983,3.498861689,2.324282455
